[3121.0, -1433.0]
[3121.0, -933.0]
[3121.0, -433.0]
[3121.0, 66.0]
[3121.0, 566.0]
[3121.0, 1066.0]
[3121.0, 1566.0]
[3121.0, 2066.0]
[3121.0, 2566.0]
[3121.0, 3066.0]
[3121.0, 3566.0]
[3121.0, 4066.0]
[3121.0, 4566.0]
[3121.0, 5066.0]
[3121.0, 5566.0]
[2621.0, 5566.0]
[2621.0, 5066.0]
[2621.0, 4566.0]
[2621.0, 4066.0]
[2621.0, 3566.0]
[2621.0, 3066.0]
[2621.0, 2566.0]
[2621.0, 2066.0]
[2621.0, 1566.0]
[2621.0, 1066.0]
[2621.0, 566.0]
[2621.0, 66.0]
[2621.0, -433.0]
[2621.0, -933.0]
[2621.0, -1433.0]
[2621.0, -1933.0]
[2621.0, -2433.0]
[2621.0, -2933.0]
[2621.0, -3433.0]
[2621.0, -3933.0]
[2621.0, -4433.0]
[2621.0, -4933.0]
[2621.0, -5433.0]
[2621.0, -5933.0]
[2621.0, -6433.0]
[2621.0, -6933.0]
[2621.0, -7433.0]
[2621.0, -7933.0]
[2621.0, -8433.0]
[2621.0, -8933.0]
[2621.0, -9433.0]
[2621.0, -9933.0]
[2621.0, -10433.0]
[2621.0, -10933.0]
[2621.0, -11433.0]
[2621.0, -11933.0]
[2621.0, -12433.0]
[2621.0, -12933.0]
[2621.0, -13433.0]
[2121.0, -13433.0]
[2121.0, -12933.0]
[2121.0, -12433.0]
[2121.0, -11933.0]
[2121.0, -11433.0]
[2121.0, -10933.0]
[2121.0, -10433.0]
[2121.0, -9933.0]
[2121.0, -9433.0]
[2121.0, -8933.0]
[2121.0, -8433.0]
[2121.0, -7933.0]
[2121.0, -7433.0]
[2121.0, -6933.0]
[2121.0, -6433.0]
[2121.0, -5933.0]
[2121.0, -5433.0]
[2121.0, -4933.0]
[2121.0, -4433.0]
[2121.0, -3933.0]
[2121.0, -3433.0]
[2121.0, -2933.0]
[2121.0, -2433.0]
[2121.0, -1933.0]
[2121.0, -1433.0]
[2121.0, -933.0]
[2121.0, -433.0]
[2121.0, 66.0]
[2121.0, 566.0]
[2121.0, 1066.0]
[2121.0, 1566.0]
[2121.0, 2066.0]
[2121.0, 2566.0]
[2121.0, 3066.0]
[2121.0, 3566.0]
[2121.0, 4066.0]
[2121.0, 4566.0]
[2121.0, 5066.0]
[2121.0, 5566.0]
[1621.0, 5566.0]
[1621.0, 5066.0]
[1621.0, 4566.0]
[1621.0, 4066.0]
[1621.0, 3566.0]
[1621.0, 3066.0]
[1621.0, 2566.0]
[1621.0, 2066.0]
[1621.0, 1566.0]
[1621.0, 1066.0]
[1621.0, 566.0]
[1621.0, 66.0]
[1621.0, -433.0]
[1621.0, -933.0]
[1621.0, -1433.0]
[1621.0, -1933.0]
[1621.0, -2433.0]
[1621.0, -2933.0]
[1621.0, -3433.0]
[1621.0, -3933.0]
[1621.0, -4433.0]
[1621.0, -4933.0]
[1621.0, -5433.0]
[1621.0, -5933.0]
[1621.0, -6433.0]
[1621.0, -6933.0]
[1621.0, -7433.0]
[1621.0, -7933.0]
[1621.0, -8433.0]
[1621.0, -8933.0]
[1621.0, -9433.0]
[1621.0, -9933.0]
[1621.0, -10433.0]
[1621.0, -10933.0]
[1621.0, -11433.0]
[1621.0, -11933.0]
[1621.0, -12433.0]
[1621.0, -12933.0]
[1621.0, -13433.0]
[1121.0, -13433.0]
[1121.0, -12933.0]
[1121.0, -12433.0]
[1121.0, -11933.0]
[1121.0, -11433.0]
[1121.0, -10933.0]
[1121.0, -10433.0]
[1121.0, -9933.0]
[1121.0, -9433.0]
[1121.0, -8933.0]
[1121.0, -8433.0]
[1121.0, -7933.0]
[1121.0, -7433.0]
[1121.0, -6933.0]
[1121.0, -6433.0]
[1121.0, -5933.0]
[1121.0, -5433.0]
[1121.0, -4933.0]
[1121.0, -4433.0]
[1121.0, -3933.0]
[1121.0, -3433.0]
[1121.0, -2933.0]
[1121.0, -2433.0]
[1121.0, -1933.0]
[1121.0, -1433.0]
[1121.0, -933.0]
[1121.0, -433.0]
[1121.0, 66.0]
[1121.0, 566.0]
[1121.0, 1066.0]
[1121.0, 1566.0]
[1121.0, 2066.0]
[1121.0, 2566.0]
[1121.0, 3066.0]
[1121.0, 3566.0]
[1121.0, 4066.0]
[1121.0, 4566.0]
[1121.0, 5066.0]
[1121.0, 5566.0]
[621.0, 5566.0]
[621.0, 5066.0]
[621.0, 4566.0]
[621.0, 4066.0]
[621.0, 3566.0]
[621.0, 3066.0]
[621.0, 2566.0]
[621.0, 2066.0]
[621.0, 1566.0]
[621.0, 1066.0]
[621.0, 566.0]
[621.0, 66.0]
[621.0, -433.0]
[621.0, -933.0]
[621.0, -1433.0]
[621.0, -1933.0]
[621.0, -2433.0]
[621.0, -2933.0]
[621.0, -2433.0]
[621.0, -2433.0]
[121.0, -2433.0]
[121.0, -1933.0]
[121.0, -1433.0]
[121.0, -933.0]
[121.0, -433.0]
[121.0, 66.0]
[121.0, 566.0]
[121.0, 1066.0]
[121.0, 1566.0]
[121.0, 2066.0]
[121.0, 2566.0]
[121.0, 3066.0]
[121.0, 3566.0]
[121.0, 4066.0]
[121.0, 4566.0]
[121.0, 5066.0]
[121.0, 5566.0]
[-378.0, 5566.0]
[-378.0, 5066.0]
[-378.0, 4566.0]
[-378.0, 4066.0]
[-378.0, 3566.0]
[-378.0, 3066.0]
[-378.0, 2566.0]
[-378.0, 2066.0]
[-378.0, 1566.0]
[-378.0, 1066.0]
[-378.0, 566.0]
[-378.0, 66.0]
[-378.0, -433.0]
[-378.0, -933.0]
[-378.0, -1433.0]
[-378.0, -1933.0]
[-378.0, -1433.0]
[-378.0, -1433.0]
[-878.0, -1433.0]
[-878.0, -933.0]
[-878.0, -433.0]
[-878.0, 66.0]
[-878.0, 566.0]
[-878.0, 1066.0]
[-878.0, 1566.0]
[-878.0, 2066.0]
[-878.0, 2566.0]
[-878.0, 3066.0]
[-878.0, 3566.0]
[-878.0, 4066.0]
[-878.0, 4566.0]
[-878.0, 5066.0]
[-878.0, 5566.0]
[-1378.0, 5566.0]
[-1378.0, 5066.0]
[-1378.0, 4566.0]
[-1378.0, 4066.0]
[-1378.0, 3566.0]
[-1378.0, 3066.0]
[-1378.0, 2566.0]
[-1378.0, 2066.0]
[-1378.0, 1566.0]
[-1378.0, 1066.0]
[-1378.0, 566.0]
[-1378.0, 66.0]
[-1378.0, -433.0]
[-1378.0, -933.0]
[-1378.0, -1433.0]
[-1378.0, -1933.0]
[-1378.0, -2433.0]
[-1878.0, -2433.0]
[-1878.0, -2933.0]
[-2378.0, -2933.0]
[-2378.0, -3433.0]
[-2878.0, -3433.0]
[-2878.0, -3933.0]
[-2878.0, -4433.0]
[-3378.0, -4433.0]
[-3378.0, -4933.0]
[-3878.0, -4933.0]
[-3878.0, -5433.0]
[-3878.0, -5933.0]
[-3878.0, -6433.0]
[-3878.0, -6933.0]
[-3878.0, -7433.0]
[-3878.0, -7933.0]
[-3878.0, -8433.0]
[-3878.0, -8933.0]
[-3878.0, -9433.0]
[-3878.0, -9933.0]
[-3878.0, -10433.0]
[-3878.0, -10933.0]
[-3878.0, -11433.0]
[-3878.0, -11933.0]
[-3878.0, -12433.0]
[-3878.0, -12933.0]
[-3878.0, -13433.0]
[-3378.0, -13433.0]
[-2878.0, -13433.0]
[-2378.0, -13433.0]
[-1878.0, -13433.0]
[-1378.0, -13433.0]
[-878.0, -13433.0]
[-378.0, -13433.0]
[121.0, -13433.0]
[621.0, -13433.0]
[621.0, -12933.0]
[621.0, -12433.0]
[621.0, -11933.0]
[621.0, -11433.0]
[621.0, -10933.0]
[621.0, -10433.0]
[621.0, -9933.0]
[621.0, -9433.0]
[621.0, -8933.0]
[621.0, -8433.0]
[621.0, -7933.0]
[621.0, -7433.0]
[621.0, -6933.0]
[621.0, -6433.0]
[621.0, -5933.0]
[621.0, -5433.0]
[621.0, -4933.0]
[621.0, -4433.0]
[621.0, -3933.0]
[621.0, -4433.0]
[621.0, -4433.0]
[121.0, -4433.0]
[121.0, -4933.0]
[121.0, -5433.0]
[121.0, -5933.0]
[121.0, -6433.0]
[121.0, -6933.0]
[121.0, -7433.0]
[121.0, -7933.0]
[121.0, -8433.0]
[121.0, -8933.0]
[121.0, -9433.0]
[121.0, -9933.0]
[121.0, -10433.0]
[121.0, -10933.0]
[121.0, -11433.0]
[121.0, -11933.0]
[121.0, -12433.0]
[121.0, -12933.0]
[-378.0, -12933.0]
[-378.0, -12433.0]
[-378.0, -11933.0]
[-378.0, -11433.0]
[-378.0, -10933.0]
[-378.0, -10433.0]
[-378.0, -9933.0]
[-378.0, -9433.0]
[-378.0, -8933.0]
[-378.0, -8433.0]
[-378.0, -7933.0]
[-378.0, -7433.0]
[-378.0, -6933.0]
[-378.0, -6433.0]
[-378.0, -5933.0]
[-378.0, -5433.0]
[-378.0, -5933.0]
[-378.0, -5933.0]
[-878.0, -5933.0]
[-878.0, -6433.0]
[-878.0, -6933.0]
[-878.0, -7433.0]
[-878.0, -7933.0]
[-878.0, -8433.0]
[-878.0, -8933.0]
[-878.0, -9433.0]
[-878.0, -9933.0]
[-878.0, -10433.0]
[-878.0, -10933.0]
[-878.0, -11433.0]
[-878.0, -11933.0]
[-878.0, -12433.0]
[-878.0, -12933.0]
[-1378.0, -12933.0]
[-1378.0, -12433.0]
[-1378.0, -11933.0]
[-1378.0, -11433.0]
[-1378.0, -10933.0]
[-1378.0, -10433.0]
[-1378.0, -9933.0]
[-1378.0, -9433.0]
[-1378.0, -8933.0]
[-1378.0, -8433.0]
[-1378.0, -7933.0]
[-1378.0, -7433.0]
[-1378.0, -6933.0]
[-1378.0, -6433.0]
[-1378.0, -6933.0]
[-1378.0, -6933.0]
[-1878.0, -6933.0]
[-1878.0, -7433.0]
[-1878.0, -7933.0]
[-1878.0, -8433.0]
[-1878.0, -8933.0]
[-1878.0, -9433.0]
[-1878.0, -9933.0]
[-1878.0, -10433.0]
[-1878.0, -10933.0]
[-1878.0, -11433.0]
[-1878.0, -11933.0]
[-1878.0, -12433.0]
[-1878.0, -12933.0]
[-2378.0, -12933.0]
[-2378.0, -12433.0]
[-2378.0, -11933.0]
[-2378.0, -11433.0]
[-2378.0, -10933.0]
[-2378.0, -10433.0]
[-2378.0, -9933.0]
[-2378.0, -9433.0]
[-2378.0, -8933.0]
[-2378.0, -8433.0]
[-2378.0, -7933.0]
[-2378.0, -7433.0]
[-2878.0, -7433.0]
[-2878.0, -7933.0]
[-2878.0, -8433.0]
[-2878.0, -8933.0]
[-2878.0, -9433.0]
[-2878.0, -9933.0]
[-2878.0, -10433.0]
[-2878.0, -10933.0]
[-2878.0, -11433.0]
[-2878.0, -11933.0]
[-2878.0, -12433.0]
[-2878.0, -12933.0]
[-3378.0, -12933.0]
[-3378.0, -12433.0]
[-3378.0, -11933.0]
[-3378.0, -11433.0]
[-3378.0, -10933.0]
[-3378.0, -10433.0]
[-3378.0, -9933.0]
[-3378.0, -9433.0]
[-3378.0, -8933.0]
[-3378.0, -8433.0]
[-3378.0, -7933.0]
[-3378.0, -7433.0]
[-3378.0, -6933.0]
[-3878.0, -6933.0]
[-3878.0, -6433.0]
[-3878.0, -5933.0]
[-3878.0, -5433.0]
[-3878.0, -4933.0]
[-3878.0, -4933.0]
[-3878.0, -4433.0]
[-3878.0, -3933.0]
[-3378.0, -3933.0]
[-3378.0, -3433.0]
[-3378.0, -2933.0]
[-2878.0, -2933.0]
[-2878.0, -2433.0]
[-2378.0, -2433.0]
[-2378.0, -1933.0]
[-1878.0, -1933.0]
[-1878.0, -1433.0]
[-1878.0, -933.0]
[-1878.0, -433.0]
[-1878.0, 66.0]
[-1878.0, 566.0]
[-1878.0, 1066.0]
[-1878.0, 1566.0]
[-1878.0, 2066.0]
[-1878.0, 2566.0]
[-1878.0, 3066.0]
[-1878.0, 3566.0]
[-1878.0, 4066.0]
[-1878.0, 4566.0]
[-1878.0, 5066.0]
[-1878.0, 5566.0]
[-2378.0, 5566.0]
[-2378.0, 5066.0]
[-2378.0, 4566.0]
[-2378.0, 4066.0]
[-2378.0, 3566.0]
[-2378.0, 3066.0]
[-2378.0, 2566.0]
[-2378.0, 2066.0]
[-2378.0, 1566.0]
[-2378.0, 1066.0]
[-2378.0, 566.0]
[-2378.0, 66.0]
[-2378.0, -433.0]
[-2378.0, -933.0]
[-2378.0, -1433.0]
[-2878.0, -1433.0]
[-2878.0, -1933.0]
[-3378.0, -1933.0]
[-3378.0, -2433.0]
[-3878.0, -2433.0]
[-3878.0, -2933.0]
[-3878.0, -3433.0]
[-3878.0, -2933.0]
[-3878.0, -2433.0]
[-3878.0, -2433.0]
[-3878.0, -1933.0]
[-3878.0, -1433.0]
[-3378.0, -1433.0]
[-3378.0, -933.0]
[-2878.0, -933.0]
[-2878.0, -433.0]
[-2878.0, 66.0]
[-2878.0, 566.0]
[-2878.0, 1066.0]
[-2878.0, 1566.0]
[-2878.0, 2066.0]
[-2878.0, 2566.0]
[-2878.0, 3066.0]
[-2878.0, 3566.0]
[-2878.0, 4066.0]
[-2878.0, 4566.0]
[-2878.0, 5066.0]
